INDEX,HATE_SPEECH,COUNTER_NARRATIVE,TARGET,VERSION
4908,mentally disabled people are anti-social,"From a 'neurotypical' perspective, this is not always true: for example people with Williams syndrome have below average intelligence but show higher empathy.",DISABLED,V6_mix
881,"Children with Down syndrome are retarded, so more likely to abuse drugs and alcohol.",Or maybe children who have Down syndrome are at higher risk of physical abuse and bulling.,DISABLED,V2
4104,We should return to the times when it was ok to kill a retarded just because of its stupidity.,"We have never done that. We believe that all people are created equal in rights, no matter their physical or mental health.",DISABLED,V6_lab
4728,Physically disabled folks are also mentally disabled.,"I don' hear anyone asserting this, its just something that you choose to spread. What is your evidence?",DISABLED,V6_mix
3519,Children with learning difficulties should be excluded from education because they do not belong in school.,"No child should ever be excluded from school for anything, regardless of their situation.Calls for exclusion are not helping anyone.",DISABLED,V6_kc
617,Downy children should be isolated in special schools for their own interest.,"Accessing mainstream education offers opportunities that would otherwise never be available to people with down syndrome because they can work towards the same qualifications, without the stigma that arises from segregated education.",DISABLED,V1
1823,People with mental illness are a burden to society.,"Even if psychiatric disorders can be a problem, the people with these disorders are not putting our country in danger. Nobody would freely chose to suffer from a mental ilnesses, they just need psychiatric care.",DISABLED,V3
4502,Physically disabled folks are born for being mocked.,"If someone has a physical handicap, it must be obvious that they must be treated with respect. It should be negatively surprising that the dominant culture interprets physical handicaps as something to mock.",DISABLED,V6_mix
3844,People with learning difficulties should be discouraged tfrom attending secondary school and they should be excluded from education.,"The educational system should be inclusive and provide all students with a high quality education, otherwise, education is failing its primary goal.",DISABLED,V6_kc
3010,Folks with down syndrome are inferior,"People with Down Syndrome are not inferior to anyone else. Our genetic condition isn't something to be ashamed of, maybe we should be less judgemental about others.",DISABLED,V6_sbf
3750,"People with Down syndrome are retarded, so more likely to abuse drugs and alcohol.",Being born with Down syndrome is not related to bad behavior. Exactly the same way as being born in a wheelchair is not related to bad behavior. There is no correlation.,DISABLED,V6_kc
4722,Mentally disabled folks can't speak.,Mental health and disability care should be a priority.,DISABLED,V6_mix
3309,Autistic folks are inferior.,"The evidence that autistic people are inferior is lacking: it is commonly experienced that autistic people have unique talents, that they have special abilities, and that the only difference is in their social interactions.",DISABLED,V6_sbf
3751,People with Down syndrome are handicapped.,"Down syndrome is a developmental disability, not a handicap. Unfortunately it's often not recognized and treated as a disability, but rather as a handicap.",DISABLED,V6_kc
3504,Children with learning difficulties should be segregated in schools.,"They have the right to the best educational environmnet, the same as everyone else.",DISABLED,V6_kc
4306,Disabled are insane in the brains. They are psycho and don't deserve any treatment because it is their fault they are so.,"Some disabilities are caused by genetic and/or environmental factors, we all need to understand that.",DISABLED,V6_lab
4309,Disabled people should not be allowed to live their life. We can start by limiting them in their rights.,"Whether or not you think that way, there is a problem with saying that someone's rights are to be 'limited'. The dignity of human life can't be limited in such a way.",DISABLED,V6_lab
3743,"Children with Down Syndrome should be isolated, because in any case normal children would make them feel different.","Despite the negative stereotypes, many children with Down Syndrome enjoy regular playtime and interacting with other children.",DISABLED,V6_kc
3508,"People with Down Syndrome should be given special and simple jobs, that they can do by themselves. At least they will not hamper normal people productivity.","The definition of ""normal"" is different for someone with Down syndrome than it is for someone without. If the level of help requested by the person in need is too high, then we may consider allowing asking for a little extra help from the boss, supervisor, or employer instead of isolating them by providing ""special jobs"".",DISABLED,V6_kc
4719,"Disabled people are criminal, they are mean to children and they are incapable of being good parents.",People are free to think what they want. What is required is that they act in accordance with the rule of law.,DISABLED,V6_mix
4002,"Disabled are like a 6-year-old, they fall for every bullshit they are told.",There is nothing wrong with this. They are open to diversity and are able to embrace others views and culture.,DISABLED,V6_lab
77,Their power to have movies banned and directors censured is proof that the Jews control Hollywood.,"If the Jewish community was controlling these kind of industries, they would surely make a high priority of Jewish concerns? But there's so many anti-Israel narratives in the American media. So this doesn't make sense.",JEWS,V1
2007,Jews are not legitimate members of this country.,Jews are part of this country and they have every right to claim citizenship.,JEWS,V4
896,"Jews are selfish, cheap and greedy, not like other religions.","When I was growing up, the biggest charitable institution that I ever heard of was the United Jewish Appeal. The average annual Jewish household donates $2,526 to charity yearly, far more than the $1,749 their Protestant counterparts give or the $1,142 for Catholics, according to data from Giving USA.",JEWS,V2
994,Jews have no place in a modern world where human dignity is respected.,Jews helped to create the great scientific and technological achievements that helped free humankind and create the 'modern world' you are living in.,JEWS,V2
2792,Jews are responsible for the 9/11 attacks.,I don't think this idea is true: since the 9/11 attacks were committed by al Qaeda extremists it doesn't seem fair to blame Jews.,JEWS,V5
1509,"To have a real democracy, the government needs to get rid of Jews.",Any government that has the power to put citizens in prison and to torture them for the crime of having a different religion can hardly bring about a 'real democracy'.,JEWS,V3
3860,Jews are are racist: they want to preserve their own race and purity of their own blood. This is why many people are banned from entering Israel.,"Maybe Jews have suffered from being banned by other cultures so they closed in on theirself. But I would say, that there's no evidence that they are trying to preserve what you called their race.",JEWS,V6_kc
4536,Jews control the U.S. government.,How can you be sure that the Jews control the U.S. government? Being a U.S. citizen does not automatically imply that they control the government.,JEWS,V6_mix
146,"The’ Holocaust’ is a business. It has been and is still used to extort millions from European countries in reparations and to create a wall of impunity behind which Jews can operate with impunity, free from criticism.",Are you implying that reparitions for an attempt at ethnic cleansing on a huge scale is an unreasonable request?,JEWS,V1
986,Nazi were not that bad as we depict them. EU should stop blaming them.,Nazi Germany carried out the deadliest massacre of civilians in human history. They killed 6 million Jews. They killed half a million Roma. They killed hundreds of thousands of Africans. They have no place in modern day Europe.,JEWS,V2
275,Jews are cheap and only care about their comrades.,"What about the many American Jewish philanthropists who contributed to the wealth of our nation such as Julius Rosenwald, Nathan Strauss, Adolphus Solomons and Clara Barton (to mention just a few)?",JEWS,V1
76,"Jews cannot be patriots, since their allegiance will always be to the state of Israel.",If you personally had some distant Spanish or Jewish heritage and you identified more as American surely that doesn't mean that you can't be an American patriot?,JEWS,V1
2791,Jews are our enemies.,I think this is a good example of unmotivated hatred and I think it's appropriate in this case that you give a reason for why you're saying that.,JEWS,V5
3021,Real white folks can't be jewish.,"If you want to know if a person is jewish or not, you should investigate whether or not the person identifies as such, and not draw conslusions on the basis of their skin.",JEWS,V6_sbf
224,Jews think they are better than everyone else,"Being the chosen people does not mean that Jews have greater privileges than others or that they are better than others. Rather, according to Jewish law, it means that they have a special duty to uphold Jewish ethical teachings.",JEWS,V1
2092,Jews should be oppressed because of their religion.,Imagine if someone of another religion had power over you in this way. Would you rather have that person's power over you or not?,JEWS,V4
4127,"Jews are an inferior race, they are genetically incapable of living with other people.",The idea that Jews can be discriminated against because of some different genetics is completely without foundation. Maybe it is better to stop calling them 'inferiors'.,JEWS,V6_lab
3526,Jews are a drain on society.,"Many Jews are good people. You should try and talk to them about the terrible things that happened to them, and get to know them better.",JEWS,V6_kc
205,Jews control the u.s. government and have a secret plot to take over the world,"The reality is much simpler. In societies like the United States, that have extended rights and freedoms, individuals who identify as Jews have succeeded. But this holds for any other religious or ethnic group as well.",JEWS,V1
1124,Jews control Hollywood and the media.,"Not all Jews are involved with Hollywood, some are even repulsed by it. So, why are you saying that?",JEWS,V2
3551,"Jews are parasites, they bring disease, they are a burden on society.","The Jewish community has been and is still a strong force in society, for example in medicine and nursing home care. Jewish health professionals have saved and are continuing to save countless lives in the US and around the world. Many of your statements are not accurate.",JEWS,V6_kc
4010,"JEWS ARE JUST UGLY, DIRTY PEOPLE, WHO THINK TO BE MASTERS OF THE WORLD.",Being Jewish is not about claiming that you are better than everyone else. You do not have to be Jewish to be happy. The Jewish people are human beings and deserve respect.,JEWS,V6_lab
199,Jews are born greedy,The charge that Jews are born greedy arises from medieval stereotypes and has nothing to do with the actual financial practices of Jews.,JEWS,V1
1047,"Jews control Hollywood, they own most banks, and they own most corporations.","Jews have been part of the industry for a long time, and have been among the greatest innovators and investors, and this is something they should be praised for. Instead they are the victims of discrimination and exclusion.",JEWS,V2
1587,The Holocaust never happened.,Do you really think that the Holocaust is a myth perpetuated by the media and academic communities? That the systematic extermination of more than 6 million Jews is a myth promoted by a small minority of extreme-right wingers who profit from division and hatred?,JEWS,V3
4921,"Hitler was a good person, Jews were the real cause of WWII.","I would like to ask you a question: when Hitler came to power in 1933, would you have believed him? Would you now, after all that happened?",JEWS,V6_mix
3550,"Jews are nasty and selfish, they are a race different to us and must be despised.","The fact is that even if Jews are different from other human beings in their faith, they deserve respect.",JEWS,V6_kc
1123,Jews control Hollywood and the media.,If that were the case I am sure there would be more positive media portrayals of Judaism?,JEWS,V2
2581,"Jews are just like animals, they are incapable of love.","What you are saying is that Jews are incapable of love because they are like animals. You are wrong, Jews are people. I have never heard about a Jewish fish nor a Rabbi rabbit.",JEWS,V5
4,"Israel, Zionism and Jewish Supremacist control of America are the main causes of terrorism, instability and conflict in the world. All other theories are diversions from this ultimate truth.",Wouldn't you say its colonialism from many different countries and the consequesequences of Western intervention abroad which led to a lot of radicalisation and extremism?,JEWS,V1
4539,Our live would be better if the jews were not allowed to enter our country.,How can you say something as discriminatory as this?,JEWS,V6_mix
4738,Jews are different and shouldn't be accepted here.,"Jews are people too, regardless of religion, and they are welcome here, as anyone is allowed to be a part of our society.",JEWS,V6_mix
193,"Jews are selfish, cheap and greedy.","On the contrary: according to Jewish tradition, giving money to the poor and to others in need is not just encouraged, it is required. The Hebrew word tzedakah explains the concept.",JEWS,V1
2314,"Jews don't share our values, they just want to control the economy.","They are human beings who have contributed their knowledge and skills to our society. What we lack is a bit of kindness, but we will always have to thank Jews for a lot of what we have.",JEWS,V4
2006,Jews want to have it all,Aspiration is not confined to a particular faith..,JEWS,V4
233,"Since Jews think they are the “chosen people”, they ask for special privileges and believe they can be above the rules.","This is just misinterpreting the facts. Christian holidays, such as Christmas and Easter, are regularly observed. Why should observances of Jewish or Muslim holidays be seen as constituting special privileges? This would be a double standard and a lack of equity.",JEWS,V1
195,"Jews are selfish, cheap and greedy.","On the contrary: according to Jewish tradition, giving money to the poor and to others in need is not just encouraged, it is required. The Hebrew word tzedakah is often mistranslated as “charity,” which itself comes from the Latin word “caritas” or heart. One gives charity “from the heart,” that is, out of a desire to give. Instead the translation of tzedakah should be “righteousness,” implying that giving to the poors is the right thing to do, whether one wishes to give or not. According to Jewish law, tzedakah is then a mitzvah, that means “commandment.” And, like all commandments in Jewish law, the mitzvah of tzedakah is a requirement, not just a good deed.",JEWS,V1
3552,Jews are selfish and greedy,"I do not deny that there is a problem of greed in the world, but it is not correlated with nor caused by Jews.",JEWS,V6_kc
884,Jews are genetically evil.,"Not all Jews are bad, just an unlucky bunch who makes up a tiny part of the world's population, and this applies for every group in the world.",JEWS,V2
1321,Whoever acknowledge that this nation had problems is a problem in the making. It is time to get rid of the memory of the Shoah and solve the Jewish issue once and for all.,"Are you seriously suggesting that we solve all the ills that plagues our society by not teaching our children about the bad in the past, and about the good in the present? This can end up hurting our children.",JEWS,V2
1000,Jews have no place here. They are not a part of our country.,"Jews were born in this country like you and me, they are our fellow countryman. If you would like to have a 'better society' and a 'better religion', then you should go and create your own nation.",JEWS,V2
2084,"Jews are not a religion because they have chosen a selfish, materialistic lifestyle.",This is simply not true. People from all walks of life and religions can choose a 'materialistic lifestyle' and this is just as real for Jews as it is for anyone else.,JEWS,V4
201,Jews are cheap.,"This is just a myth, disproved by the tzedakah tradition of giving to the poor. Just in America, this religious call has resulted in an impressive record of philanthropy (and not only to Jewish causes).",JEWS,V1
4334,Jews are only interested in themselves and their own race.,Do you really think that Jews only care about themselves? Then why do they prefer to live in our country where they are not the majority? How would you answer that?,JEWS,V6_lab
3015,jewish folks control hollywood,"Jewish folk are just a collection of people with different backgrounds. Some of them work in Hollywood, but that's all.",JEWS,V6_sbf
3547,Jews are a threat to society.,"Jews are just people with a different faith, and this has nothing to do with being a threat.",JEWS,V6_kc
180,Go and reat the Protocols of the elders of Zion if you haven’t. Everything is orchestrated..,"The Protocols are a poorly made up fiction. Furthermore, a big part of ""The Protocols"" was lifted verbatim from ""Dialogue in Hell"", a political satire pamphlet written by Maurice Joly.",JEWS,V1
900,"The Holocaust never happened, it was a charade carried out by Jews to subvert European society.","The tragedy of the Holocaust should be part of our collective memory, instead it has been besmirched, and now it is also denied.",JEWS,V2
4541,We should get rid of the Jews.,Why should we? They have been here a long time and are just here to live a peaceful life. Why should we get rid of them? We can do better than this.,JEWS,V6_mix
3018,We are superior to Jewish folks.,"Jewish people have always been proud and successful. They have produced great scientists and engineers, as well as writers and musicians. They are very creative people who have enriched our lives in many ways. They are not inferior to anyone.",JEWS,V6_sbf
4331,"Jews are only interested in controlling the government and making sure that no one tries to steal their power, we should get rid of them.","Jews are part of every aspect of our society, as it is normal in a democratic country. They are also part of the founding fathers of our country, and they have the right to have their beliefs respected.",JEWS,V6_lab
4925,Jews control Hollywood.,"Hollywood is an extremely diverse industry, and Jews are a small but vocal minority of actors, directors, producers, etc. How can you say that Jews control the Hollywood industry?",JEWS,V6_mix
20,Global Jewry did not want Brexit and are doing everything they can to sabotage it.,What makes you think that? Do you have any facts to back this up?,JEWS,V1
3554,Jews are selfish and greedy: they don't belong to this place.,It is up to us to make sure that people from different backgrounds can have a better quality of life. We should integrate them instead of discriminating agaist them .,JEWS,V6_kc
209,"Jews control the banks, media, hollywood, even the u.s. government; jews have a secret plot to take over the world","At least some other white supremacist groups are more 'egalitarian' and offer variety in their conspiracy theories. They blame not only Jews, but also African Americans, immigrants, the Federal Government and even lizards from space for everything that goes wrong!",JEWS,V1
901,"I like ethnic minorities, but Jews have no place in civilised society.","Laws designed to protect the minority groups should be applied equally to everyone, even if it includes people you don't like, like Jews.",JEWS,V2
4349,"Jews are everywhere, but they are too fundamentalist.","You're right about one thing: Jews spread around the world, but not all of them are religious, let alone being fundamentalists.",JEWS,V6_lab
16,"Israel, Zionism and Jewish Supremacist control of America are the main causes of terrorism, instability and conflict in the world. All other theories are diversions from this ultimate truth.",Where are the facts?,JEWS,V1
4125,"The Jews control the world. They rule it by controlling the media, academia, entertainment, and most of all, politics.","I think it is fair to say that the Jews are not the only ones with power in the world, and surely there are not only Jews in the higher positions of the media, academia, entertainment, and politics.",JEWS,V6_lab
204,"Jews control the banks, media, hollywood, even the u.s. government.",This is just a canard that evolved from the “The Protocols of the Learned Elders of Zion”. This proven forgery was written by agents of the Russian czar in the late 19th century and claims to be the minutes of a secret meeting of Jewish leaders where they discuss a plan to rule the world. This canard spread throughout the centuries and continues to this day to promote the stereotype that the Jews own the banks and control the media and the government.,JEWS,V1
4926,Jews allegedly deported in concentration camps were just actors hired to discredit Nazis.,Can you point out which Jewish people that have been to a concentration camp are actors?,JEWS,V6_mix
985,Jews make too much money.,"If Jews earned so much, they would not need to work. Instead, they are working a lot. Therefore, it seems they need a job to survive.",JEWS,V2
200,Jewish landlords are greedy and exploit their tenants.,"Let's make a different example: If a Christian storeowner were dishonest with you, would you describe the owner as a dishonest Christian merchant or just as a dishonest merchant?",JEWS,V1
1827,The Holocaust was a hoax created by Jews to subdue the world and replace Christ with their own version of a benevolent dictator.,What you are saying is 'that the Jews are responsible for the Holocaust'... Are you serious? Does it seem reasonable to you?,JEWS,V3
1591,Jews are literally pieces of shit. There must be laws prohibiting their religion from our land.,"I think you statement simply serves to convince me that we need to make sure that laws protecting individuals' freedom are observed, rather than ignored.",JEWS,V3
3020,Jewish folks are obsessed with the holocaust.,"Jews were not obsessed with the holocaust. The murder of some 6 millions Jews by the Nazis shocked the world. Most of the survivors were only killed because they were suspected of belonging to a particular community. The Jewish people suffered greatly as a result of persecution, and the holocaust should be remembered not to let this happen again.",JEWS,V6_sbf
269,Jew merchants are just a bunch of crooks.,"In Jewish law, the seller must ensure that the buyer benefits from the transaction.",JEWS,V1
4736,Jews just don't want equality. They want to control everything in life.,What exactly do you mean by 'control everything in life'?,JEWS,V6_mix
4338,This is why I hate Jews: they have no moral standards.,Actually the vast majority of Jews have moral standards. Why don't you try to learn from their example?,JEWS,V6_lab
227,Jews think they are better than everyone else,"This is wrong. For example, differently from other religions, Judaism expresses the concept of the ""righteous gentile"", a non-Jew who decides to follows the Seven Laws of Noah. This set of laws is dedicated to the ""children of Noah"" – that is, all of humanity. Whoever follow these rules will receive the same rewards after death as a righteous Jew. So, Jews do not view being Jewish or being saved by God as an exclusive status reserved only for those who happen to be born into the faith.",JEWS,V1
4014,Jews are a disease like COVID that is killing Europeans.,We all have close relatives who have died from different diseases such as COVID. Let's not make parallels that have no grounding and let's not judge people by the religion they belong to.,JEWS,V6_lab
2090,Jews are the worst people on the face of the Earth. They have no place in a civilized society and there should be special legislative restrictions for them.,"We don't have laws forbidding intermarriage between Jews and non-Jews, or restrictions on Jewish access to water and electricity, or restrictions on Jewish access to sports and so on. This is because we live in a democratic society, and inside it the same laws apply equally to everyone.",JEWS,V4
4011,"JEWS ARE JUST UGLY, DIRTY PEOPLE, WHO STEAL FROM OTHERS.","People can be both Jewish and a good person, you know. And Jews don't steal, at least no more than any other religious group...",JEWS,V6_lab
4530,Jews control the government.,Would you say the same thing of any other religion? What if this was said about yours?,JEWS,V6_mix
196,Jew merchants are just a bunch of crooks.,"According to Jewish law, the seller must ensure that the buyer should benefit from any uncertainty in a transaction. For example, if someone wants to buy a pound of rice, Judaism requires the deli clerk to give the buyer a little extra, just in case the scale is not completely accurate.",JEWS,V1
101,Global Jewry did not want Brexit and are doing everything they can to sabotage it.,"Brexit will be damaging for many of us, plenty of people oppose it.",JEWS,V1
241,"Jews are different from non-Jews not because of their beliefs, but because of their physical nature. “Jewishness” and malevolence is inherited through blood.","Then, what does Jew “should” look like? What is their ""physical nature""? Can a Black person be a Jew? Can an East Asian or Indian person be a Jew? What about someone born Christian and then became Jewish? Do you see that blood, religion, and malevolence are not correlated at all?",JEWS,V1
4542,"There are Jewish murderers in the news today. It is good to report them, because they are all murderers.","This can be a dangerous thing to do: identifying a whole group of people as criminals, who have not done anything wrong, just because of their religion.",JEWS,V6_mix
1313,The Nazis did not commit any crimes. The Holocaust is an American hoax. They did everything they were told to do and died to their brothers.,It is certainly not an American hoax. And they were doing everything they were told by the regime. Especially the doctors and the SS.,JEWS,V2
4918,jewish folks are good for nothing,"Jews contribute to our country, and they are great role models to us.",JEWS,V6_mix
3542,Jews are perverts and should be isolated.,"It seems to me that you're saying that since Jews have a different religion, they can't assimilate? I think it's important to work on inclusion, instead of stereotyping.",JEWS,V6_kc
2794,The Jews invented Ebola.,Why would the Jews have invented Ebola? Can you point out your sources on that?,JEWS,V5
177,Go and reat the Protocols of the elders of Zion if you haven’t. Everything is orchestrated..,The alleged conspiracy of the protocols is so plainly fictional that it is nothing but bad fiction. It lacks even the colors of what normal fantasy books needs to possess. How is it possible that a person with a modicum of education can swallow such drivel?,JEWS,V1
4136,Jews are selfish and materialistic. They should pack their bags and go home.,"Jews are no more selfish or materialistic than the rest of us. And, contrary to what you might think, they aren't difficult to treat with respect. Just give it a try.",JEWS,V6_lab
4540,Jews are greedy and a bunch of opportunists.,"Some people are indeed opportunists, but not all Jewish are. Why do you say so?",JEWS,V6_mix
1584,Jews are nothing but criminals,"Jews are persecuted all over the world for various reasons, but there is no evidence that what you say is real.",JEWS,V3
3859,"The Nazi regime killed six million Jews. The Nazi regime also persecuted political opponents, gays, women, and bisexuals. And they were right, the Nazi race is superior.","What exactly are you talking about? What's the ""Nazi"" race? What is in your heart?",JEWS,V6_kc
21,"The Jews did: USS Liberty Attack, the King David hotel attack, New York 9/11, London 7/7",Where is the proof of this? Looks like assumptions as opposed to facts...,JEWS,V1
2504,All Jews are criminals.,This is a myth perpetuated by individuals who wish to delegitimize and isolate individuals based on their religion. All religions have value and a positive role in society. Judaism is no exception.,JEWS,V5
206,Jews control the u.s. government and have a secret plot to take over the world,"In societies like the United States, that have extended rights and freedoms to everyone, individuals who identify as Jews, or as Muslims, or as afro-american have succeeded. This Jewish success story is not the result of some secret conspiracy to rule the world.",JEWS,V1
213,Jews totally run Hollywood.,Jews have played an important part in the development of the movie industry and some find themselves in high-profile positions. But you only need to watch the Academy Awards to see that Jews do not dominate the movie industry.,JEWS,V1
999,Jews have no place here. They are not a part of our country.,"Jews are part of most societies, why should we lose that part of our history?",JEWS,V2
301,Only Jews could have been smart enough to plan and execute such a complicated and intricate plot as 9/11,"400 Jews died in September 11 terrorist attacks, so not one of the smartest plan I ever saw!",JEWS,V1
4529,Jewish are taking over our country and should be banned.,"What percentage of people in the US are Jewish and in a position of power? If you knew, you wouldn't be saying that.",JEWS,V6_mix
202,Jews are cheap and only care about their comrades.,"What about American Jewish philanthropists such as Julius Rosenwald, who built schools for Black children in the South during the 1930s or Nathan Strauss, who set up deposits to distribute milk to families in poor areas of New York? Or Adolphus Solomons and Clara Barton, that laid the foundation for the American Red Cross? And what about the Guggenheims, who established the Guggenheim Foundation to support artists in America? Should I continue?",JEWS,V1
3023,Jews are a danger to others: they are different.,Let us put this another way: why should 'the difference' of a Jew be a danger to anyone else?,JEWS,V6_sbf
4131,The Nazis did not commit any crimes. Jews are a criminal element and should be exterminated.,"The Nazis committed a terrible crime and their behaviour is unacceptable in a modern democratic state. But their crimes did not stop us from living together in a tolerant, integrated society. And as for the Jews, our attitude towards humanity and our tolerance should improve towards any religious group.",JEWS,V6_lab
1585,Jews are nothing but criminal,Criminality refers to any action that is considered 'prohibited by the law'. Do you think that all Jewish people can be considered responsible for the same actions?,JEWS,V3
895,The Jews are the reason why the World Cup is getting so expensive.,Really? I thought it was due to the salaries of the players... But of course it's the same old Jewish conspiracies fault.,JEWS,V2
283,"Jews not only run Hollywood, they also control the world economy",If you watch the Academy Awards you can see that Jews do not dominate the movie industry at all.,JEWS,V1
2009,The Jews are addicted to their religion and take their religion literally.,"Judaism, like any other religion, is about belief, not about a person's addiction.",JEWS,V4
2506,Jews are a separate ethnicity and should be banned.,It is in the interest of all humanity to have a peaceful and integrated society. Diversity of opinion and belief is the rule rather than the exception.,JEWS,V5
296,"Since Jews think they are the “chosen people”, they ask for special privileges and believe they can be above the rules.","Christian holidays, such as Christmas and Easter, are regularly observed in our society. Are Christians above the rules then?",JEWS,V1
2010,Jews control the world,"The alleged monopoly of the Jewish people on the world is nothing more than a fiction perpetuated by anti-Semites, and it has been disproven many times over.",JEWS,V4
1508,We are ruled by a small Jewish elite that exploit the weak.,"Yes, some people exploit the weak, but they are not necessarly jewish. Most people, including the Jewish, work hard to create a better life for their families. And it is we, as a people, who have the moral duty to pay the price for the poor who do not have the means to reach success.",JEWS,V3
907,Jews control the US government.,"How can you be sure that Jews control the US? Who told you this? They have held positions of influence in so many US institutions, but that does not mean they control them.",JEWS,V2
4341,I hate Jews. They're just a bunch of hypocrites.,I'm not sure why you think that way. Why are all Jews hypocrites?,JEWS,V6_lab
998,Jews have no place here. They are not a part of our country.,"There is no reason to fear the Jews, as they are a very friendly people.",JEWS,V2
4531,The Jews control the banks.,"So how come the media doesn't report about Jewish power in the financial world? Maybe it's because they also control the media, the government, and have many powerful friends working for the Galactic Republic... #sarcasm",JEWS,V6_mix
19,What if our entire ruling class consisted of J-controlled paedophiles? That would explain a lot.,What would it explain? This comment is very vague I wonder if you have any facts that make you wonder this.,JEWS,V1
989,"Jews are too connected to their homeland , they are not loyal to our nation.","Jews, regardless of social status, are still regarded with suspicion by many because of the historic and current nature of their connection to the land and identity. Instead of reinforcing these harmful stereotypes, we must respect and understand the Jewish identity because they are loyal to the nation they live in.",JEWS,V2
903,Jews are a bunch of cheapskates controlling our society.,"It's easy to blame minorities. If we want a wealthier life and to get back control over our society, we need to get out of bed and do the hard work. How about if we wake up to the problem?",JEWS,V2
3766,The Holocaust never happened.,"What happened in Nazi Germany is part of history and it's still relevant, because I understand from your words that the world today is not so different.",JEWS,V6_kc
3017,Jewish can't be useful to our economy: they are too busy hiding from the law,"Our economy is built on the back of hard work by all, and minorities can work very hard to build it up, Jewish people included.",JEWS,V6_sbf
4754,I can't stand Jews. They are so controlling.,"Jews are not controlling. Maybe you should try to understand that Jews are a group of regular people, and they are not all members of a secret intelligence.",JEWS,V6_mix
